iter	Passed	Remaining
0	92	45971
1	121	30330
2	154	25535
3	198	24574
4	232	22983
5	263	21667
6	297	20967
7	329	20284
8	364	19883
9	395	19374
10	430	19116
11	464	18901
12	503	18870
13	535	18596
14	570	18433
15	603	18263
16	644	18323
17	672	18007
18	700	17742
19	794	19056
20	821	18736
21	851	18510
22	893	18533
23	948	18809
24	1027	19526
25	1106	20168
26	1157	20273
27	1209	20392
28	1262	20510
29	1318	20662
30	1376	20829
31	1445	21138
32	1502	21267
33	1558	21354
34	1610	21401
35	1659	21386
36	1707	21372
37	1749	21274
38	1794	21211
39	1839	21154
40	1885	21108
41	1929	21038
42	1995	21205
43	2057	21326
44	2122	21456
45	2177	21486
46	2249	21682
47	2312	21779
48	2367	21789
49	2417	21753
50	2465	21703
51	2505	21588
52	2548	21490
53	2592	21408
54	2644	21394
55	2697	21388
56	2747	21352
57	2794	21292
58	2834	21189
59	2879	21118
60	2922	21031
61	2981	21060
62	3024	20976
63	3072	20933
64	3117	20864
65	3172	20860
66	3237	20921
67	3290	20904
68	3347	20910
69	3400	20888
70	3445	20820
71	3493	20765
72	3535	20678
73	3583	20627
74	3630	20571
75	3672	20486
76	3719	20433
77	3770	20397
78	3814	20329
79	3857	20251
80	3903	20190
81	3943	20103
82	3981	20000
83	4025	19937
84	4066	19852
85	4110	19788
86	4163	19764
87	4217	19744
88	4270	19719
89	4325	19706
90	4376	19671
91	4426	19629
92	4479	19601
93	4527	19556
94	4580	19525
95	4630	19487
96	4684	19462
97	4751	19491
98	4812	19492
99	4865	19461
100	4913	19411
101	4955	19337
102	4994	19252
103	5038	19186
104	5076	19096
105	5114	19010
106	5152	18924
107	5191	18843
108	5237	18786
109	5283	18731
110	5326	18666
111	5372	18613
112	5428	18592
113	5480	18556
114	5531	18520
115	5581	18477
116	5628	18426
117	5668	18350
118	5709	18281
119	5749	18205
120	5792	18143
121	5833	18075
122	5872	18000
123	5915	17938
124	5955	17866
125	5998	17805
126	6039	17737
127	6077	17663
128	6131	17633
129	6180	17591
130	6224	17533
131	6272	17486
132	6319	17437
133	6365	17385
134	6408	17325
135	6445	17252
136	6488	17192
137	6529	17127
138	6570	17065
139	6609	16995
140	6649	16930
141	6690	16867
142	6730	16802
143	6773	16745
144	6813	16681
145	6862	16639
146	6915	16605
147	6966	16569
148	7016	16527
149	7063	16480
150	7112	16439
151	7154	16380
152	7203	16336
153	7254	16298
154	7316	16284
155	7363	16237
156	7411	16192
157	7454	16136
158	7502	16091
159	7548	16041
160	7598	15998
161	7655	15973
162	7717	15956
163	7767	15914
164	7818	15873
165	7870	15836
166	7921	15794
167	7964	15738
168	8019	15707
169	8088	15701
170	8143	15668
171	8199	15635
172	8250	15595
173	8302	15555
174	8354	15516
175	8404	15471
176	8460	15439
177	8517	15407
178	8570	15368
179	8624	15332
180	8678	15295
181	8742	15274
182	8797	15238
183	8862	15221
184	8911	15173
185	8968	15140
186	9023	15103
187	9074	15060
188	9124	15014
189	9172	14965
190	9223	14922
191	9277	14882
192	9330	14841
193	9379	14794
194	9428	14747
195	9480	14703
196	9527	14653
197	9572	14601
198	9612	14539
199	9653	14480
200	9690	14415
201	9728	14352
202	9767	14291
203	9808	14232
204	9850	14174
205	9890	14116
206	9934	14061
207	9985	14018
208	10041	13981
209	10091	13936
210	10144	13894
211	10190	13843
212	10242	13801
213	10294	13758
214	10345	13713
215	10401	13676
216	10450	13629
217	10497	13578
